2
114,4,1
41,3,2
0,0,0
52,11,1
16,6,2
9,7,0
179,16,1
133,8,3
59,3,3
166,6,0
38,13,2
79,4,0
144,1,3
122,16,2
23,8,3
12,5,2
171,7,2
83,7,1
48,14,0
108,0,3
36,8,1
134,15,3
18,18,0
149,5,1
35,13,2
137,11,1
26,6,2
88,2,1
152,14,1
173,0,1
109,8,1
134,4,0
96,5,0
72,13,1
58,3,0
45,9,3
155,10,3
12,2,1
18,5,1
137,8,0
67,1,2
136,16,0
149,6,0
23,12,2
10,12,2
92,11,1
121,3,2
157,15,1
162,7,2
74,15,1

62,18,2
54,4,1
134,8,0
45,6,2
129,6,2
160,18,3
115,12,3
10,16,0
60,13,2
33,12,3
77,10,3
0,2,3
119,16,3
36,11,3
72,15,3
83,17,3
49,1,2
154,10,2
2,11,1
41,9,3
106,7,2
23,3,3
32,1,2
133,19,1
158,6,3
28,5,1
142,19,2
41,13,3
118,16,1
26,9,1
82,15,0
160,9,3
63,13,2
87,6,3
103,11,1
56,2,0
135,10,3
41,6,0
168,16,0
43,6,2
31,5,3
123,2,3
57,14,3
18,8,3
60,14,2
30,19,1
37,13,3
129,14,0
145,13,1
44,3,1

