-----Experiment Information-----
Algorithm
|	Type: Evolutionary Algorithm
File Paths
|	Problem file: 50Shapes.txt
|	Configuration file: 50ShapesRand.json
|	Log file: logs/50ShapesRand.txt
|	Solution file: solutions/50ShapesRand.txt
RNG
|	Type: time
|	Seed: 1571876437684
Experiment
|	Number of Runs: 30
|	Number of Evaluations: 1000
EA Settings
|	Initialization Strategy: uniform-random
|	Initial Population Seeding: False
|	Parent Selection: uniform-random
|	Survival Strategy: plus
|	Survival Selection: uniform-random
|	Termination Condition: evaluations
|	Population Size: 100
|	Offspring Count: 10
|	Number of Runs: 30
|	Mutation Rate: 0.3
--------------------------------

Result Log

Run 1
100	4.26	15	0.22	2
110	3.93	15	0.2	2
120	4.1	15	0.2	2
130	4.11	15	0.18	2
140	4.18	15	0.17	2
150	4.08	15	0.15	2
160	4.13	15	0.15	2
170	4.23	15	0.16	2
180	4.22	15	0.13	2
190	4.35	27	0.15	2
200	4.27	27	0.17	2
210	4.15	27	0.13	2
220	3.99	27	0.13	2
230	3.77	14	0.13	2
240	4.02	14	0.15	2
250	4.25	16	0.14	2
260	4.42	16	0.17	2
270	4.39	16	0.16	2
280	4.4	16	0.17	2
290	4.33	16	0.2	2
300	4.36	16	0.2	2
310	4.32	16	0.16	2
320	4.22	16	0.16	2
330	4.55	26	0.15	2
340	4.82	26	0.15	2
350	4.54	26	0.15	2
360	4.38	17	0.13	1
370	4.41	17	0.14	1
380	4.33	17	0.15	1
390	4.99	21	0.13	1
400	4.91	21	0.14	1
410	4.97	18	0.15	1
420	4.73	18	0.17	2
430	4.77	18	0.14	1
440	4.91	34	0.14	1
450	5.03	34	0.14	2
460	4.56	34	0.17	2
470	4.59	34	0.17	2
480	4.64	34	0.17	2
490	4.61	34	0.21	2
500	4.66	34	0.22	2
510	4.69	34	0.19	2
520	4.68	34	0.16	2
530	4.66	34	0.16	2
540	4.79	34	0.16	2
550	4.47	34	0.14	2
560	4.66	34	0.17	2
570	4.62	34	0.17	2
580	4.85	34	0.2	2
590	4.99	34	0.19	2
600	4.87	34	0.18	2
610	4.91	34	0.17	2
620	4.9	34	0.17	2
630	4.67	34	0.2	3
640	4.71	34	0.23	3
650	4.78	34	0.25	3
660	4.61	34	0.21	3
670	4.71	34	0.22	3
680	4.69	34	0.19	3
690	4.9	34	0.19	3
700	4.83	34	0.18	3
710	4.85	34	0.2	3
720	4.85	34	0.21	3
730	4.33	26	0.18	2
740	4.45	26	0.19	2
750	4.31	26	0.2	2
760	4.08	26	0.22	2
770	4.02	26	0.23	2
780	3.89	26	0.23	2
