-----Experiment Information-----
Algorithm
|	Type: Evolutionary Algorithm
File Paths
|	Problem file: 50Shapes.txt
|	Configuration file: 50ShapesConfig2.json
|	Log file: logs/50ShapesTrial3.txt
|	Solution file: solutions/Trial3.txt
RNG
|	Type: time
|	Seed: 1571876446435
Experiment
|	Number of Runs: 30
|	Number of Evaluations: 1000
EA Settings
|	Initialization Strategy: uniform-random
|	Initial Population Seeding: True
|	Parent Selection: k-tournament
|	Parent K Tournament Size: 2
|	Survival Strategy: plus
|	Survival Selection: truncation
|	Termination Condition: evaluations
|	Population Size: 100
|	Offspring Count: 10
|	Number of Runs: 30
|	Mutation Rate: 0.3
--------------------------------

Result Log

Run 1
100	4.2	23	0.18	3
110	4.66	23	0.2	3
120	5.06	23	0.23	3
130	5.64	23	0.23	3
140	6.06	23	0.24	3
150	6.37	24	0.25	3
160	6.63	24	0.25	3
170	6.63	24	0.27	3
180	6.78	24	0.29	3
190	6.9	24	0.3	3
200	7.04	24	0.31	3
210	7.06	24	0.31	3
220	7.09	24	0.33	3
230	7.21	24	0.35	3
240	7.22	24	0.35	3
250	7.4	24	0.34	3
260	7.5	24	0.37	3
270	7.57	24	0.4	3
280	8.05	24	0.38	3
290	8.17	24	0.38	3
300	8.39	24	0.37	3
310	8.43	24	0.38	3
320	8.31	24	0.42	3
330	8.41	24	0.44	3
340	8.25	24	0.45	3
350	8.41	24	0.5	3
360	8.52	24	0.5	3
370	8.57	24	0.51	3
380	8.78	24	0.48	3
390	8.77	24	0.49	3
400	8.62	24	0.49	3
410	8.63	24	0.51	3
420	8.58	24	0.53	3
430	8.74	24	0.54	3
440	8.76	24	0.54	3
450	8.88	24	0.58	3
460	8.94	24	0.57	3
470	8.98	24	0.58	3
480	9.02	24	0.58	3
490	9.13	24	0.56	3
500	9.15	24	0.57	3
510	9.18	24	0.58	3
520	9.18	24	0.58	3
530	9.2	24	0.57	3
540	9.32	24	0.58	3
550	9.42	24	0.57	3
560	9.51	24	0.56	3
570	9.46	24	0.57	3
580	9.36	24	0.61	3
590	9.47	24	0.59	3
600	9.51	24	0.61	3
610	9.52	24	0.61	3
620	9.66	24	0.61	3
630	9.6	24	0.63	3
640	9.63	24	0.66	3
650	9.57	24	0.67	3
660	9.5	24	0.73	3
670	9.56	24	0.73	3
680	9.68	24	0.73	3
690	9.75	24	0.72	3
700	9.79	24	0.72	3
710	9.59	24	0.77	3
720	9.43	24	0.82	3
730	9.44	24	0.81	3
740	9.56	24	0.8	3
750	9.43	24	0.8	3
760	9.72	24	0.79	3
770	9.69	24	0.79	3
780	9.8	24	0.77	3
790	9.77	24	0.79	3
800	9.77	24	0.77	3
810	9.77	24	0.78	3
820	9.71	24	0.79	3
830	9.74	24	0.79	3
840	9.6	24	0.79	3
850	9.5	24	0.81	3
860	9.88	24	0.84	3
870	9.86	24	0.82	3
880	9.93	24	0.83	3
890	9.89	24	0.84	3
900	10.05	24	0.83	3
910	9.97	24	0.84	3
920	10.09	24	0.84	3
930	10.1	24	0.84	3
940	9.98	24	0.85	3
950	9.92	24	0.86	3
960	10.05	24	0.84	3
970	10.09	24	0.84	3
980	10.0	24	0.86	3
990	10.0	24	0.86	3
1000	10.1	24	0.86	3

Run 2
100	4.09	27	0.19	3
110	4.44	27	0.19	3
120	4.66	27	0.19	3
130	5.07	27	0.21	3
140	5.48	27	0.23	3
150	5.84	27	0.26	3
160	6.12	27	0.27	3
170	6.13	27	0.28	3
180	6.25	27	0.29	3
190	6.42	27	0.32	3
200	6.54	27	0.36	3
210	6.62	27	0.38	3
220	6.69	27	0.4	3
230	7.03	27	0.38	3
240	7.39	27	0.38	3
250	7.42	27	0.38	3
260	7.36	27	0.41	3
270	7.56	27	0.45	3
280	7.54	27	0.46	3
290	7.48	27	0.48	3
300	7.43	27	0.52	3
310	7.47	27	0.54	3
320	7.71	27	0.56	3
330	7.77	27	0.58	3
340	7.85	27	0.59	3
350	7.84	27	0.62	3
360	7.85	27	0.62	3
370	7.92	27	0.63	3
380	8.1	27	0.58	3
390	8.2	27	0.61	3
400	8.28	27	0.62	3
410	8.17	27	0.65	3
420	8.33	27	0.62	3
430	8.38	27	0.64	3
440	8.59	27	0.64	3
450	8.8	27	0.63	3
460	8.76	27	0.66	3
470	8.78	27	0.67	3
480	8.71	27	0.7	3
490	8.83	27	0.69	3
500	8.92	27	0.69	3
